id,카테고리,활동,시설명,섬,주소,전화번호,홈페이지,출처,검색링크
300,체험,낚시,강화도 황청낚시터,강화도,인천광역시 강화군 내가면 황청포구로443번길 82,032-933-0105,http://hwangcheongfish.com,강화군청 낚시터목록(황청낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%EB%8F%84%20%ED%99%A9%EC%B2%AD%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
302,체험,루지,강화루지,강화도,,,,,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%EB%A3%A8%EC%A7%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
303,체험,낚시,강화바다낚시터,강화도,,,,,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
305,체험,모노레일,강화화개산모노레일,강화도,,,,,https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B0%95%ED%99%94%ED%99%94%EA%B0%9C%EC%82%B0%EB%AA%A8%EB%85%B8%EB%A0%88%EC%9D%BC%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
306,체험,낚시,국화지낚시터,강화도,인천광역시 강화군 강화읍 국화길 51,032-932-3288,http://www.kukwha.com,강화군청 낚시터목록(국화낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B5%AD%ED%99%94%EC%A7%80%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
308,체험,낚시,길상가족낚시터,강화도,인천광역시 강화군 길상면 초지로 453,032-937-6497,https://cafe.naver.com/cjjuny,관광공사(길상가족낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B8%B8%EC%83%81%EA%B0%80%EC%A1%B1%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
309,체험,낚시,길정 낚시터,강화도,인천광역시 강화군 양도면 고려왕릉로 209,032-932-1234,,강화군청 낚시터목록(길정낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EA%B8%B8%EC%A0%95%20%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
317,체험,낚시,선두바다낚시터,강화도,인천광역시 강화군 길상면 해안남로 673-15,,https://m.cafe.naver.com/ca-fe/ganghwa939.cafe/,관광공사(선두바다낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EC%84%A0%EB%91%90%EB%B0%94%EB%8B%A4%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
318,체험,낚시,선두포저수지,강화도,인천광역시 강화군 길상면 보리고개로 13,,,관광공사(선두포저수지),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EC%84%A0%EB%91%90%ED%8F%AC%EC%A0%80%EC%88%98%EC%A7%80%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
320,체험,낚시,신선낚시터,강화도,인천광역시 강화군 내가면 고비고개로741번길 37-48,032-933-1366,http://www.sinsungi.co.kr/,강화군청 낚시터목록(신선낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EC%8B%A0%EC%84%A0%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
326,체험,낚시,인산낚시터,강화도,인천광역시 강화군 양도면 중앙로787번길 8-1,032-937-8788,https://insan.quv.kr/,강화군청 낚시터목록(인산낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%EC%9D%B8%EC%82%B0%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
335,체험,낚시,황청낚시터,강화도,,032-933-0105,http://hwangcheongfish.com,강화군청 낚시터목록(황청낚시터),https://search.naver.com/search.naver?query=%EA%B0%95%ED%99%94%EB%8F%84%20%ED%99%A9%EC%B2%AD%EB%82%9A%EC%8B%9C%ED%84%B0%20%EC%A0%84%ED%99%94%EB%B2%88%ED%98%B8
