"시설명","카테고리","섬","섬매핑상태","주소","위도","경도","출처","출처수","중복여부","통합후보","검증상태","판정","판정사유","연관관광지"
"[강화 나들길 제2코스] 호국돈대길","육상레저","강화도","MATCHED","인천광역시 강화군 강화읍 해안동로1366번길 18","37.7336321177","126.5160613555","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"[강화 나들길 제3코스] 고려왕릉 가는 길","육상레저","강화도","MATCHED","인천광역시 강화군 강화읍 청하동길 24","37.7458245442","126.4822613345","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"[강화 나들길 제4코스] 해가 지는 마을 길","육상레저","강화도","MATCHED","인천광역시 강화군 강화읍 청하동길 24","37.7458245442","126.4822613345","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"[강화 나들길 제8코스] 철새 보러 가는 길","육상레저","강화도","MATCHED","인천광역시 강화군 강화읍 청하동길 24","37.7458245442","126.4822613345","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화 자전거 관광코스","육상레저","강화도","MATCHED","인천광역시 강화군 강화읍","37.7464579051","126.4880330099","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화경찰수련원","이색","강화도","MATCHED","","37.624092349352","126.534550623264","LOCAL_HUB","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(수련원) — 수동 검수 필요",""
"강화경찰수련원","육상레저","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","레저 시설 여부 불명확(육상레저스포츠) — 수동 검수 필요","강화광성보 / 강화평화전망대 / 덕진진"
"강화고인돌캠핑장","육상레저","강화도","MATCHED","인천광역시 강화군 하점면 강화대로 994-40","37.776228512","126.4358508522","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화도 황청낚시터","해상레저","강화도","MATCHED","인천광역시 강화군 내가면 황청포구로443번길 82","37.7141928345","126.3647035503","TOUR_CONTENT","1","단일","","UNVERIFIED","REGISTER","국문관광정보 기반 — 등록 후보",""
"강화도자연체험농장","체험","강화도","MATCHED","","","","RELATED_TOURISM","1","단일","","UNVERIFIED","REVIEW","보조 출처에서만 발견 — 실운영 확인 필요","석모도수목원"
