"시설명","카테고리","활동","섬","주소","주소정확도","출처","비고"
"강화 용두레마을","힐링","섬마을 투어","강화도","인천광역시 강화군 내가면 황청포구로385번길 8","EXACT","관광공사 관광정보","농어촌 체험 마을"
"강화 화문석마을","힐링","섬마을 투어","강화도","인천광역시 강화군 송해면 전망대로468번길 11","EXACT","관광공사 관광정보","화문석 공예 체험 마을"
"동막해변 갯벌체험","해상레저","갯벌체험","강화도","인천광역시 강화군 화도면 동막리","VILLAGE","강화군 문화관광","세계 5대 갯벌. 조개잡이 등 가족 갯벌체험"
"외포리선착장","해상레저","유람선","강화도","인천광역시 강화군 내가면 해안서로 883","EXACT","관광공사 관광정보","주문도·볼음도 등 서도면 여객선 출항지"
"정족산 삼랑성 트레킹","육상레저","트레킹","강화도","인천광역시 강화군 길상면 온수리","EXACT","관광공사 관광정보","삼랑성 성곽길·전등사 연계 코스"
"교동 화개산 트레킹 코스","육상레저","트레킹","교동도","인천광역시 강화군 교동면","VILLAGE","강화군 문화관광","해발 259m. 정상에서 북한 연백평야 조망"
"난정리 해바라기마을 정원","힐링","섬마을 투어","교동도","인천광역시 강화군 교동면 난정리 741-3","EXACT","관광공사 관광정보","여름~가을 해바라기 경관 정원"
"대룡시장","힐링","섬마을 투어","교동도","인천광역시 강화군 교동면 대룡리","VILLAGE","강화군 문화관광","실향민이 조성한 1960년대풍 골목시장. 교동 대표 명소"
"농여해변","해상레저","해안 산책","대청도","인천광역시 옹진군 대청면","VILLAGE","관광공사 관광정보","나이테바위 등 기암. 썰물 때 풀등 형성"
"서풍받이 트레킹 코스","육상레저","트레킹","대청도","인천광역시 옹진군 대청면","VILLAGE","백령·대청 국가지질공원","해안 절벽 능선 코스. 국가지질공원 인증 명소"
"옥죽동 해안사구","해상레저","해안 산책","대청도","인천광역시 옹진군 대청면","VILLAGE","관광공사 관광정보 / 한국경제","국내 최대급 해안사구. '한국의 사막'으로 불림"
"두무진 유람선","해상레저","유람선","백령도","인천광역시 옹진군 백령면 연화리 1026-9","EXACT","관광공사 관광정보 / 백령·대청 국가지질공원","서해의 해금강. 기암괴석 해안을 도는 유람선 운항"
"두무진 트레킹 코스","육상레저","트레킹","백령도","인천광역시 옹진군 백령면 연화리","VILLAGE","백령·대청 국가지질공원","기암괴석 해안 능선길. 유람선과 연계 가능"
"백령도 점박이물범 관찰지","힐링","물범 관찰","백령도","인천광역시 옹진군 백령면 진촌리","VILLAGE","한국경제 / 국가지질공원","천연기념물 331호 점박이물범 국내 유일 서식지. 5~9월 관찰 적기"
"사곶해변","해상레저","해수욕장","백령도","인천광역시 옹진군 백령면 사곶로 139","EXACT","관광공사 관광정보","천연기념물 391호. 폭 200m·길이 3km 천연 비행장 해변"
"콩돌해변","해상레저","해안 산책","백령도","인천광역시 옹진군 백령면","VILLAGE","관광공사 관광정보","콩알 크기 자갈이 깔린 국가지질공원 명소"
"민머루해변","해상레저","해수욕장","석모도","인천광역시 강화군 삼산면 어류정길212번길","EXACT","관광공사 관광정보","석모도 유일 해수욕장. 일몰 명소"
"보문사","힐링","섬마을 투어","석모도","인천광역시 강화군 삼산면 삼산남로","VILLAGE","강화군 문화관광","낙가산 눈썹바위 마애석불. 서해 낙조 명소"
"해명산 트레킹 코스","육상레저","트레킹","석모도","인천광역시 강화군 삼산면 석포리 산 185","EXACT","관광공사 관광정보","해발 327m. 석모도 종주 능선 코스"
"배미꾸미해변 조각공원","힐링","섬마을 투어","신도·시도·모도","인천광역시 옹진군 북도면 모도리","VILLAGE","대한민국 구석구석","모도 남서쪽 야외 조각 전시장"
"수기해변","해상레저","해수욕장","신도·시도·모도","인천광역시 옹진군 북도면 시도로86번길 291-49","EXACT","관광공사 관광정보","시도 북서쪽 해변. 드라마 촬영지"
"시도염전","힐링","섬마을 투어","신도·시도·모도","인천광역시 옹진군 북도면 시도리","VILLAGE","대한민국 구석구석","전통 천일염전 경관"
"신·시·모도 자전거길","육상레저","자전거","신도·시도·모도","인천광역시 옹진군 북도면","VILLAGE","대한민국 구석구석","연도교로 이어진 세 섬을 잇는 자전거 코스"
"연평도 안보 여행코스","힐링","섬마을 투어","연평도","인천광역시 옹진군 연평중앙로24번길 3","EXACT","관광공사 여행코스","서해 최북단 안보 관광 코스(면사무소 출발). 신분증 지참 필수"
"옹암해변","해상레저","해수욕장","장봉도","인천광역시 옹진군 북도면 장봉로 227","EXACT","관광공사 관광정보","장봉도 대표 해변. 선착장 인근"
"장봉도 갯벌체험장","해상레저","갯벌체험","장봉도","인천광역시 옹진군 북도면 장봉리","VILLAGE","북도면사랑 / 옹진군","바지락·낙지 채취 등 어촌 갯벌체험"
"장봉도 국사봉 트레킹","육상레저","트레킹","장봉도","인천광역시 옹진군 북도면 장봉리","VILLAGE","북도면사랑","해발 151m. 섬 능선 종주길과 연결"
