"시설명","카테고리","활동","섬","주소","주소정확도","출처","비고"
"개머리언덕","육상레저","백패킹","굴업도","인천광역시 옹진군 덕적면 굴업리","VILLAGE","대한민국 구석구석 / 텔트립","국내 백패킹 3대 명소. 해변에서 도보 약 40분"
"굴업도 웰니스 코스","육상레저","트레킹","굴업도","인천광역시 옹진군 굴업로 39","EXACT","관광공사 관광정보(여행코스)","관광공사 등록 웰니스 여행코스"
"굴업도 은하수 관측지","힐링","은하수 체험","굴업도","인천광역시 옹진군 덕적면 굴업리","VILLAGE","KKday / 대한민국 구석구석","광공해 적어 별·은하수 관측 가능. 개머리언덕 일대"
"큰마을해변","해상레저","해안 산책","굴업도","인천광역시 옹진군 덕적면 굴업리","VILLAGE","대한민국 구석구석","토끼섬·코끼리바위 연계 산책"
"대이작도 해양생태관","체험","풀등 체험","대이작도","인천광역시 옹진군 자월면 이작리","VILLAGE","인천섬발전지원센터","해양생태 전시·체험·해설 프로그램. 풀등탐방 연계"
"부아산 트레킹 코스","육상레저","트레킹","대이작도","인천광역시 옹진군 자월면 이작리","VILLAGE","옹진군 / 대한민국 구석구석","정상 전망대·구름다리. 덕적도·승봉도 조망"
"삼신할미약수터","힐링","섬마을 투어","대이작도","인천광역시 옹진군 자월면 이작리","VILLAGE","인천섬발전지원센터","전설 모형이 설치된 관광 포인트"
"작은풀안해변","해상레저","해수욕장","대이작도","인천광역시 옹진군 자월면 이작리","VILLAGE","대한민국 구석구석","물때 맞추면 풀등 조망 가능"
"풀등","체험","풀등 체험","대이작도","인천광역시 옹진군 자월면 이작리","VILLAGE","대한민국 구석구석 / 텔트립","썰물 때 하루 두 번 열리는 길이 4km 모래섬. 해양생태계보호구역"
"능동자갈마당","힐링","산림욕","덕적도","인천광역시 옹진군 덕적면 북리","VILLAGE","경기신문","100년 이상 왕소사나무 30여 그루 군락"
"밧지름해변","해상레저","해수욕장","덕적도","인천광역시 옹진군 덕적면 덕적남로 209-1","EXACT","관광공사 관광정보","한적한 해변. 서포리와 연계 산책"
"비조봉 등산 코스","육상레저","트레킹","덕적도","인천광역시 옹진군 덕적면 진리","VILLAGE","덕적도 공식","4개 등산 코스, 정상까지 약 1시간(7km). 소야도 일출 조망"
"서포리해수욕장 오토캠핑장","육상레저","캠핑","덕적도","인천광역시 옹진군 덕적면 서포리","VILLAGE","덕적도 공식 / 경기신문","길이 3km·폭 100m. 오토캠핑장·공원·음식점"
"무의도 국사봉","육상레저","트레킹","무의도","인천광역시 영종구 무의동","EXACT","관광공사 관광정보","해발 230m. 호룡곡산과 능선으로 연결"
"무의도 해상관광탐방로","해상레저","해안 산책","무의도","인천광역시 영종구 무의동","VILLAGE","텔트립 / 인천 중구청","호룡곡산 절벽 해안 데크길 약 800m (무료)"
"무의바다누리길","육상레저","트레킹","무의도","인천광역시 영종구 무의동","EXACT","관광공사 관광정보","소무의도 일주 탐방로. 8개 구간 약 2.5km"
"큰무리어촌체험마을","해상레저","해안 산책","무의도","인천광역시 영종구 대무의로 26-9","EXACT","관광공사 관광정보","어촌계 운영 갯벌·어촌 체험 프로그램"
"하나개해수욕장 갯벌체험","해상레저","해수욕장","무의도","인천광역시 영종구 무의동","VILLAGE","인천 중구청 관광","1.5km 백사장. 조개캐기·갯벌 체험"
"하나개해수욕장 짚라인","체험","짚라인","무의도","인천광역시 영종구 무의동","VILLAGE","인천in / 하나개유원지","총연장 420m, 속도 40~60km/h"
"호룡곡산 트레킹 코스","육상레저","트레킹","무의도","인천광역시 영종구 대무의로 464","EXACT","관광공사 관광정보","해발 244m. 하나개~호룡곡산~국사봉~해상탐방로 8.62km"
"깃대봉 트레킹 코스","육상레저","트레킹","문갑도","인천광역시 옹진군 덕적면 문갑리","VILLAGE","텔트립","해발 276m. 한월리해변 출발 원점회귀 약 7.3km"
"문갑도 벽화마을","힐링","섬마을 투어","문갑도","인천광역시 옹진군 덕적면 문갑리","VILLAGE","텔트립","사자바위·벽화마을 등 섬마을 경관"
"한월리해변 야영장","육상레저","캠핑","문갑도","인천광역시 옹진군 덕적면 문갑리","VILLAGE","텔트립","야영료 무료. 화장실·개수대 구비"
"떼뿌루야영장","육상레저","캠핑","소야도","인천광역시 옹진군 덕적면 소야리","VILLAGE","브런치 트래비","천연잔디 캠핑장, 송림 방풍. 주민 직접 관리"
"소야도 떼뿌리해변","해상레저","해수욕장","소야도","인천광역시 옹진군 덕적면 소야리","EXACT","관광공사 관광정보 / 브런치 트래비","700m 백사장. 물때 맞춰 바지락·소라 채취"
"이일레해수욕장","해상레저","해수욕장","승봉도","인천광역시 옹진군 자월면 승봉로116번길","EXACT","관광공사 관광정보 / 옹진군","승봉도 대표 해변. 완만한 백사장"
"촛대바위","힐링","섬마을 투어","승봉도","인천광역시 옹진군 자월면 승봉리","VILLAGE","옹진군 관광","부두치 끝 소리개산 밑 기암"
"거잠포해변","해상레저","해안 산책","영종도","인천광역시 영종구 잠진도길 11","EXACT","관광공사 관광정보","일출 명소. 잠진도 선착장 인접"
"마시안해변","해상레저","해안 산책","영종도","인천광역시 영종구 덕교동","VILLAGE","인천 중구청 관광","조개잡이 등 갯벌체험. 마시란로 일대"
"백운산전망대","육상레저","트레킹","영종도","인천광역시 영종구 운서동 산1-1","EXACT","관광공사 관광정보","영종도 최고봉(255m). 인천대교·서해 조망"
"선녀바위해변","힐링","일몰 감상","영종도","인천광역시 영종구 용유로380번길 21","EXACT","관광공사 관광정보","기암과 노을이 어우러진 일몰 명소"
"왕산마리나","해상레저","요트","영종도","인천광역시 영종구 왕산마리나길 143","EXACT","관광공사 관광정보 / 인천 중구청","국내 최대 마리나. 요트 투어·선셋요팅·낚시투어 운영"
"을왕리 수상레저","해상레저","패들보트","영종도","인천광역시 영종구 을왕동","VILLAGE","인천 중구청 관광 / 현지 업체","모터보트·바나나보트·제트보트 운영. 여름 성수기 중심, 개별 업체 운영"
"십리포해수욕장 소사나무 군락지","힐링","산림욕","영흥도","인천광역시 옹진군 영흥면 영흥북로 420-26","EXACT","관광공사 관광정보 / 인천in","국내 유일 소사나무 방풍림 군락. 산책로 조성"
"영흥도 국사봉 임도","육상레저","자전거","영흥도","인천광역시 옹진군 영흥면 내리","VILLAGE","인천in","완만한 임도. 하이킹·자전거·산림욕 가능"
"영흥도 해루질 포인트","체험","해루질","영흥도","인천광역시 옹진군 영흥면","VILLAGE","힐링포인트 해루팡","소라·대맛·키조개·개조개 채취. 물때 확인 필요"
"장경리해수욕장","힐링","일몰 감상","영흥도","인천광역시 옹진군 영흥면 영흥로757번길 6","EXACT","관광공사 관광정보 / 대한민국 구석구석","서해 일몰 명소. 노송 군락, 해변야영장 인접"
"통일사","힐링","섬마을 투어","영흥도","인천광역시 옹진군 영흥면 영흥로722번길 146","EXACT","관광공사 관광정보","영흥도 대표 사찰. 서해 조망"
"자월도 국사봉","육상레저","트레킹","자월도","인천광역시 옹진군 자월면 자월리","VILLAGE","옹진군 관광","해발 160m. 정상 돌제단·신호수단 유적"
"장골해수욕장 야영장","육상레저","캠핑","자월도","인천광역시 옹진군 자월면 자월리","VILLAGE","옹진군 관광","길이 1km·폭 400m 고운 모래. 야영장·편의시설 완비"
"큰말해변","해상레저","해수욕장","자월도","인천광역시 옹진군 자월면 자월리","VILLAGE","옹진군 관광","길이 100m·폭 40m 금빛 모래. 자연체험학습장"
