contentid,title,addr1,addr2,mapy,mapx,status,region,islandId,islandName,method,confidence,reason,candidates
"131845","갈매기배낚시","인천광역시 제물포구 보세로 6-1  ","","37.4876876432","126.6229917663","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 제물포구",""
"2768226","검단수로","인천광역시 검단구 오류동 1460","(오류동)","37.5904168234","126.5926277920","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 검단구",""
"2465040","계산국민체육센터","인천광역시 계양구 주부토로 580","","37.5461382805","126.7291748899","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 계양구",""
"2463896","계양경기장","인천광역시 계양구 봉오대로 855","","37.5325151261","126.7438989280","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 계양구",""
"2463875","계양경기장 계양체육관","인천광역시 계양구 봉오대로 855","","37.5325151261","126.7438989280","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 계양구",""
"2463889","계양경기장 아시아드양궁장","인천광역시 계양구 봉오대로 855 (서운동)","","37.5311014098","126.7443683688","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 계양구",""
"2661787","계양산 둘레길","인천광역시 계양구 계양산로 101 (계산동)","","37.5480713510","126.7270444752","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 계양구",""
"2779988","디스커버리 클라이밍스퀘어ICN","인천광역시 검단구 완정로 70","(마전동)","37.5980644760","126.6673290848","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 검단구",""
"2781467","베어즈베스트청라GC","인천광역시 서해구 청라대로316번길 45 (청라동)","","37.5486780015","126.6359444422","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 서해구",""
"2768102","소래바다낚시터","인천광역시 남동구 소래로154번길 25-40","","37.4069546535","126.7404721864","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 남동구",""
"2767803","송도골프클럽","인천광역시 연수구 능허대로 236 (옥련동)","","37.4148632677","126.6510828905","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2734806","송도스포츠캠핑장","인천광역시 연수구 인천신항대로892번길 50","(송도동)","37.3539392294","126.6194569017","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2465135","송도스포츠파크","인천광역시 연수구 인천신항대로892번길 40","","37.3514033971","126.6185598310","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2767812","오렌지듄스 GC","인천광역시 연수구 인천신항대로 1120","(송도동)","37.3540498453","126.5920010669","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2781611","인천그랜드CC","인천광역시 서해구 원석로 195 (원창동)","","37.5130294669","126.6414671533","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 서해구",""
"2734234","인천시송도국제캠핑장","인천광역시 연수구 지식기반로 60 (송도동)","","37.3616332460","126.6458903923","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2778089","잭니클라우스GC코리아","인천광역시 연수구 아카데미로 209","(송도동)","37.3816109903","126.6179646070","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 연수구",""
"2908090","청라해변공원캠핑장","인천광역시 서해구 첨단서로 190  ","","37.5389815470","126.6155549079","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 서해구",""
"2768196","청라호수공원 환상의 숲 놀이터","인천광역시 서해구 청라동 106-2","","37.5328909470","126.6358337811","MAINLAND","","","","RULE","0.99","인천 본토 행정구역: 서해구",""
