contentid,title,addr1,addr2,mapy,mapx,status,region,islandId,islandName,method,confidence,reason,candidates
"1074812","강화 자전거 관광코스","인천광역시 강화군 강화읍","","37.7464579051","126.4880330099","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2733991","강화고인돌캠핑장","인천광역시 강화군 하점면 강화대로 994-40","","37.7762285120","126.4358508522","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"1516091","강화도 황청낚시터","인천광역시 강화군 내가면 황청포구로443번길 82","","37.7141928345","126.3647035503","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2597317","강화레포츠파크","인천광역시 강화군 불은면 중앙로 546-34","","37.7148582113","126.4538675793","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2792634","강화카라반해변","인천광역시 강화군 화도면 해안남로 2669","","37.6359187923","126.3740437533","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2753104","교동아일랜드","인천광역시 강화군 교동면 교동남로 275","","37.7729098632","126.3008550010","MATCHED","강화도권역","gyo","교동도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 교동도",""
"1615657","국화지낚시터","인천광역시 강화군 강화읍 국화길 51","","37.7473741130","126.4680820355","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2847197","글램조이","인천광역시 강화군 해안서로 689","","37.6888351221","126.3898602814","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2755854","길상가족낚시터","인천광역시 강화군 길상면 초지로 453","","37.6245528757","126.4996186818","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2757130","길정 낚시터","인천광역시 강화군 양도면 고려왕릉로 209","","37.6638171566","126.4661845393","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2740108","노을캠핑장","인천광역시 강화군 양도면 해안서로 695","","37.6893628284","126.3892880966","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2734162","농어바위캠핑장","인천광역시 옹진군 영흥면 영흥서로 420-19","","37.2818503398","126.4587846299","MATCHED","영흥도권역","yheung","영흥도","ADMIN_AREA_FALLBACK","0.93","선재도 예외를 제외한 영흥면",""
"2755743","더숲캠핑장","인천광역시 강화군 길상면 보리고개로 187-5","","37.6275411986","126.4872280660","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2908228","돌담캠핑가든","인천광역시 강화군 삼산북로 397-1","","37.7012575941","126.3282433636","MATCHED","강화도권역","seok","석모도","ISLAND_OR_PLACE_ALIAS","0.98","섬·면·장소 별칭 일치: 석모도",""
"2733992","락인뜰","인천광역시 영종구 늘목로 38","(을왕동)","37.4542097734","126.3958189907","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
"2758006","렛츠고 강화캠핑","인천광역시 강화군 화도면 동녘말길 238-13","","37.6200934400","126.4072411501","MATCHED","강화도권역","gangh","강화도","ADMIN_AREA_FALLBACK","0.9","교동·석모·동검도 예외를 제외한 강화군",""
"2768151","만정바다좌대낚시터","인천광역시 영종구 영종순환로 279-20 (중산동)","","37.5158969367","126.5483200237","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
"2768158","만정사계절바다낚시터","인천광역시 영종구 영종순환로 279-20","(중산동)","37.5150026654","126.5522724652","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
"2018189","만정캠핑장","인천광역시 영종구 영종순환로 279-20","(중산동)","37.5154692369","126.5499393322","MATCHED","영종구·서해구권역","yeongj","영종도","ADMIN_AREA_FALLBACK","0.92","무의·소무의도 예외를 제외한 영종구",""
